U,5.628,6.575
U,8.242,10.016
N,0.78,1.035
N,0.11,0.648
U,7.825,4.697
U,7.364,6.513
U,6.467,8.374
U,8.572,6.252
M,-4.105,-0.362
U,6.827,6.654
N,-0.584,4.829
U,5.542,5.573
U,4.432,5.033
M,-1.8,0.97
M,-0.226,-3.74
U,8.698,6.381
U,7.146,7.453
M,-2.033,0.868
U,6.393,7.103
M,1.592,-3.11
M,0.357,-1.525
N,0.84,1.834
M,0.896,0.702
M,0.39,-2.415
N,-2.68,0.818
M,0.342,-0.684
N,2.092,0.296
N,-0.484,4.467
N,1.301,-0.478
N,0.879,1.707
M,1.771,-0.141
M,-4.979,-2.202
N,0.947,1.127
N,1.376,2.876
N,-0.879,0.255
M,-2.031,-1.034
N,-2.008,0.207
U,8.89,10.142
M,-0.126,-2.344
M,0.473,-0.878
N,2.675,1.196
M,0.361,-0.543
M,0.803,-1.849
N,1.467,-0.575
N,0.362,1.294
U,10.213,10.56
N,0.136,3.252
N,0.425,4.864
M,-1.136,-2.454
N,4.813,1.777
N,1.082,-2.574
M,-2.195,-1.012
N,0.111,-1.277
U,7.205,5.885
N,1.167,3.59
U,7.452,8.228
U,6.683,5.892
M,1.008,-3.332
U,7.505,6.616
M,-1.422,0.459
M,2.08,-0.86
U,7.296,8.827
M,-3.001,-4.175
N,0.541,0.539
M,0.411,-1.393
M,-2.967,-0.087
U,5.859,6.411
M,-0.063,2.776
U,10.059,7.809
N,1.769,0.637
U,5.579,6.768
N,2.357,2.719
U,7.061,7.667
U,9.66,4.696
M,-3.312,0.723
N,-2.327,0.121
U,5.542,6.61
U,8.649,10.083
N,-0.405,4.446
N,1.947,0.81
M,0.24,1.192
M,-1.406,-0.368
M,1.026,0.214
N,-0.083,0.231
N,-1.275,-1.097
U,7.217,8.635
M,-1.941,-1.078
U,8.599,7.723
U,7.286,8.484
N,0.725,0.52
U,7.036,5.011
N,0.312,0.13
N,-0.611,2.541
U,7.88,5.178
M,-5.682,-1.54
N,1.766,2.449
N,0.679,1.532
U,7.886,10.032
N,-1.226,-1.766
U,6.586,5.581
M,-3.463,-1.095
N,-1.285,-0.923
N,0.39,-0.204
M,-0.052,0.703
N,1.009,3.569
M,-0.733,1.995
M,0.258,-3.219
M,-1.325,0.05
U,8.814,7.124
M,0.243,-1.394
M,-0.372,-1.201
U,7.862,5.971
N,1.439,1.463
N,1.218,3.724
N,3.346,0.979
M,-0.928,-2.599
U,7.416,7.674
N,1.129,-0.226
M,-1.394,-0.207
U,5.846,6.196
U,4.44,6.397
M,0.606,0.752
M,0.635,-1.332
N,-0.272,2.324
M,0.475,2.294
M,-0.694,-0.706
U,4.959,5.075
N,1.553,0.412
N,5.515,-0.136
M,-1.481,-1.083
M,-4.201,2.906
M,-1.961,-2.585
U,9.357,8.829
N,2.345,-1.934
U,7.938,7.502
M,-0.107,3.433
M,-0.677,-1.71
M,-1.975,-1.246
M,-2.586,-1.245
M,-1.58,0.682
N,0.87,0.874
U,7.418,6.054
M,2.517,3.584
N,3.778,3.035
U,6.511,6.016
M,-0.473,-1.832
N,-1.166,-3.9
M,-3.59,1.173
N,-1.314,3.925
M,-0.809,-3.541
N,3.072,-1.088
N,0.9,2.458
M,-0.325,-0.974
N,1.706,-1.315
M,-0.213,3.369
M,-0.625,1.143
M,-1.072,2.644
N,3.444,3.048
M,-4.499,-2.135
U,7.531,6.355
M,-1.676,-2.196
U,9.418,7.181
M,-1.088,-0.688
N,-1.107,2.9
N,2.66,-2.032
N,-0.248,2.444
N,1.225,-2.666
N,3.003,-1.576
N,-1.457,1.761
M,-3.358,2.248
M,-0.21,0.253
M,-3.068,-1.699
N,3.841,2.541
U,6.475,6.423
M,-0.253,0.453
U,6.508,8.084
M,-3.551,0.523
N,2.146,0.717
N,-0.587,5.209
N,0.261,0.568
U,8.093,4.9
M,-1.164,1.813
N,2.919,2.373
M,-3.785,-2.966
N,0.243,5.205
U,3.73,5.143
N,2.891,2.905
N,-2.454,0.032
U,6.045,13.17
U,5.231,7.189
U,7.452,6.729
M,1.845,-0.07
U,5.141,4.989
U,5.694,5.503
M,-0.191,-1.02
N,1.183,5.486
M,-1.541,-1.544
U,8.375,8.698
N,1.893,2.296
M,-2.132,-0.321
M,1.264,-2.071
U,8.353,7.782
N,0.854,-0.537
M,-6.023,-0.164
N,0.319,-1.274
M,-2.751,-1.772
M,3.865,1.074
U,5.266,7.444
N,-0.594,2.375
U,6.676,7.454
U,7.806,7.754
N,0.716,0.21
M,3.217,-3.171
M,-0.326,-2.378
N,1.455,3.1
M,0.732,0.156
M,-1.056,2.619
M,1.645,-1.11
N,1.433,5.247
M,-0.781,-0.605
N,0.378,1.279
M,-1.561,-1.254
U,7.188,7.657
U,7.507,7.248
N,2.72,5.06
M,0.29,-0.109
M,-0.72,0.715
N,0.978,-0.599
M,-2.841,-2.416
N,-3.835,-3.972
M,-0.03,-1.277
U,5.612,3.583
M,-0.656,-2.979
N,0.669,2.069
N,2.173,0.839
U,8.421,4.288
M,-1.719,-0.242
M,-3.148,-1.754
N,1.621,3.776
M,0.182,-2.38
N,0.167,3.122
M,-1.531,-1.027
U,7.73,7.666
M,-0.947,-1.811
M,-1.215,-2.611
N,1.778,1.046
U,8.265,6.225
N,0.406,1.097
M,-1.108,-0.372
U,5.238,6.898
U,6.543,6.569
U,7.196,9.033
M,0.862,0.64
M,-0.697,-2.026
M,-2.551,-1.489
M,-3.613,-1.616
N,0.946,0.423
M,-2.445,-4.052
N,-1.005,1.621
N,1.607,2.184
M,1.622,-2.989
N,2.974,2.259
N,-1.724,2.76
M,1.337,-2.3
U,8.921,7.054
U,10.186,8.382
M,0.598,1.37
U,7.384,7.772
M,-0.116,2.268
N,1.203,3.427
U,7.245,5.376
U,6.699,3.387
M,-3.364,-2.499
N,-0.546,3.084
M,-1.137,0.5
U,5.81,7.523
U,5.21,9.206
U,9.488,6.593
M,-0.705,-1.775
N,-1.706,0.473
M,-1.207,-0.69
U,4.976,7.08
N,-1.689,-1.554
U,8.468,4.67
N,-0.966,3.424
N,-0.229,0.553
M,1.872,1.124
U,6.569,9.053
M,1.004,-0.928
N,3.673,2.619
U,5.835,9.07
U,4.934,4.329
N,2.96,1.832
U,3.132,8.402
U,10.348,5.195
M,0.661,-2.376
N,0.767,0.144
U,6.172,9.101
M,-1.211,-4.673
M,-0.245,-2.027
M,1.345,-4.414
M,1.522,0.085
N,0.175,2.022
N,0.888,-0.583
N,1.876,2.814
M,-2.975,0.858
M,2.221,-0.969
U,4.989,8.264
U,8.717,8.139
M,1.476,-3.053
U,7.603,8.046
M,3.611,-1.847
M,-2.646,-1.053
M,-2.017,-0.927
U,7.289,3.352
U,5.826,7.56
N,-0.289,2.662
N,1.213,-0.162
U,10.048,8.109
N,2.949,0.423
M,0.756,-2.596
U,6.467,6.277
M,0.341,-3.088
U,8.514,3.896
N,0.873,0.814
N,-1.227,4.238
M,-2.535,1.701
M,0.14,-2.242
M,-1.843,-1.287
